date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
2000-01-27,1479.5484462066265,1117.513608932171,,,1392.5586724452064,1478.3769065225592,,1717.482244531132,1467.7080194509413,,,1400.4938261016232,1607.3950133951819,,,1287.4166265190331,1522.8063706284106,1456.569752708858,,
2000-02-17,1495.2388154996104,,,,,1466.3846136445206,,1727.1007064876526,,,,,1596.6139456309454,,,1274.3819059962645,,1467.3267788213702,,
2000-03-02,,,,,,,,,,,,1400.9540622400461,,,,,,,,
2000-03-09,,,1355.049142770481,,,,,,,,,,,,,,,,,
2000-03-16,,1112.472553653752,1367.417305625857,,1390.943494483597,,,,1468.5504107079528,,,1386.7158899543995,,,,,1514.8596772925698,,,
2000-03-30,1515.9830056932751,,,,,1435.6174742340759,,1731.0337160444847,,,,1399.6885502518771,1607.939284158982,,,,,1483.0161842129078,,
2000-04-13,,1129.29635424926,,,1396.5417731197242,,,,,,,,,,,1278.126161414758,,,,
2000-04-20,1531.4992550649665,1124.671274195379,,,,1436.1330317994634,,1732.7824238051273,,,,1392.8206928599163,,,,,,1463.1470786890154,,
2000-04-27,,1117.2435876614616,1391.5287338984976,,1405.6248523489066,,,,1456.3460868138793,,,,1574.5384893270816,,,1272.3531710935215,1512.9108396384036,,,
2000-05-04,1554.9837987696033,1110.103935578213,,,,,,1740.0726364706125,1441.7633119899835,,,1393.2028916248871,,,,,,1461.7141006243207,,
2000-05-11,1562.6266196871125,,1408.6177065032248,,1398.6624150661405,1418.6076184683764,,,,,,,1550.7143308590046,,,1281.4354647211642,,,,
2000-05-18,,1097.4347831152554,1403.1811581776715,,,,,,1441.9846712060885,,,,,,,,1529.3815574458313,,,
2000-05-25,,,,,,,,1755.2066796394895,1424.1526290420913,,,1369.4963610276104,,,,,1534.3728960860046,1478.0349380294767,,
2000-08-24,,,,,,1395.6213313755713,,,,,,1384.3964304758533,,,1286.895676635884,1309.4941162141502,1539.5583618479352,,,
2000-08-31,,,1399.2711298224224,,1391.88477915305,1401.0266770208664,,,,,,1379.7325932331894,1542.8434307000948,,,,,1463.6864254513052,,
2000-09-07,1559.9949877117645,,1373.884359989645,,,,,1763.4552276482252,1447.1130642576913,,,1378.3503573689236,1544.2395029254621,,1268.824642648279,1314.1349786012124,1520.4511902376876,1470.2499783810742,,
2000-09-14,,,1359.888716216127,,1409.0881390889347,1378.8841727921258,,,,,,1383.7185372786164,,,,1348.836162672018,1537.370317649062,,,
2000-09-21,1575.3441253122035,,,,,1386.7889063081698,,1749.163277705023,,,,,,,1255.3323857960113,1338.9429584966354,,1507.7640155275012,,
2000-09-28,,,1372.8688528636371,,1411.2688766912383,,,,1463.983118528455,,,1392.9564262734511,1545.5865192766666,,,,1549.455148016207,,,
2000-10-05,1548.5118747398194,,,,1418.5825741383123,1362.776455623114,,,,,,,,,1269.0040826326185,1342.1362518599606,,1505.0204177905628,,
2000-11-23,1551.9087359220575,,1371.2633137075986,,1432.2618739382867,,,1723.2023110520565,1454.1171079755234,,,,1540.3581042006826,,,,,,,
2000-11-30,1554.138858168688,,,,1441.4887649305124,1352.0187381879296,,,,,,1417.7106397452999,1544.4354677227136,,,,,1505.9634556433523,,
2000-12-07,,,1382.2382789260225,,,,,1730.217973563514,1452.5425288714566,,,,,,1253.033013503817,1343.6220840270507,1522.749528250646,,,
2000-12-21,,,1391.6659401157249,,,,,1733.880741978854,1463.131155834573,,,,1565.8537435793617,,,1349.4828241375942,1526.6207325143923,,,
2000-12-28,1536.9300231252707,,,,1435.6652758842952,1325.480578458332,,,,,,1402.1215420984304,,,1244.539893273986,1334.4007224962113,,1516.0819062823932,,
2001-01-04,,,,,,,,,,,,,1567.8190024413382,,,,1510.9608186018586,,,
2001-01-11,1557.5715574040414,,1407.3640901576812,,,,,,,,,,,,1262.167110442471,,,,,
2001-02-08,,,,,,1332.4542884148466,,1747.9020116800882,,,,,,,,,,,,
2001-02-15,,,1411.9772603359488,,1396.251532715772,,,,1443.514678329767,,,1416.070308443721,1560.8140269400692,,,,1497.6145308930338,,,
2001-02-22,,,,,,,,,1447.3171612234687,,,,,,,,,,,
2001-03-01,1548.1450369934767,,,,,,,1757.0001189219531,1442.22233470129,,,,1563.8205120474042,,,,,,,
2001-03-08,,,,,,,,1758.0406617195486,,,,1396.9478883985535,,,,,,,,
2001-03-15,,,1405.2149642644324,,1396.5101129431089,1360.8513358703635,,,1422.1897713727142,,,1403.333045280579,1554.1222982283505,,,,1501.8761926263571,,,
2001-03-22,1554.7235777968658,,,,,,,1769.2274300871454,1435.2984861388675,,,,,,1238.743074166109,1305.8195641294976,1507.5815582638784,,,
2001-03-29,,,,,,,,,,,,,,,1224.5297395334762,,,1557.2247182979916,,
2001-04-05,1559.0809945328933,,,,1430.4474528438839,1380.42416947225,,,,,,1407.1684906725955,1548.4761229617318,,,,,1558.9903247013974,,
2001-04-12,,,,,,,,,,,,,,,1212.7284629788915,1325.5665216372895,,1562.8850408358855,,
2001-04-19,,,1409.0254314712392,,,,,1750.5817893617968,1422.1980526142193,,,,,,1207.5068037449594,1317.2940475770915,1506.1802895845794,,,
2001-09-06,,,1389.856719280135,,,1360.193264265099,1317.5636702390175,,,,,1430.7549187228979,,,,,,1577.7054226644534,,
2001-09-13,,,,,,1344.6833215140396,,1735.3677048367865,1442.256689622743,,,,1543.5065181344455,,,1348.2186162527796,1505.8175231710854,,,
2001-09-20,1520.3405650548646,,1402.6028380684986,,1409.3154218126206,,1303.9454127452993,,,,,1412.7905125381246,,,,,,1551.400358853295,,
2001-09-27,,,1408.2577631203228,,,1366.4076407175835,,1744.397844063909,1427.519326331981,,,,,,,1354.940718122787,1532.7685847511646,,,
2001-10-18,1521.3955017999883,,,,1431.241673822634,,1314.9272611618871,,,,,1438.1021944237673,1533.0844282036776,,,,,1516.2987294147251,,
2001-10-25,,,1412.9779021961353,,,1373.8375561901264,,1756.737183988868,1455.1076936076652,,,1443.1634704962414,,,,1365.6203975702251,,,,
2001-11-15,1514.1362964890454,,,,1431.4181467388833,,1331.6425988272115,,,,,,1510.2779125893862,,,,1517.7475847173293,1485.4383779930577,,
2001-11-22,,,1417.0952106494558,,,1395.0051116746272,,,1458.806463807486,,,1469.057282186536,,,,1356.5055824661113,1486.5916497124952,1489.8252457404858,,
2001-11-29,1509.3221285494546,,,,1434.6017161129664,,1311.7317745783694,1741.2150553305753,,,,,1480.7375361515076,,,,,,,
2001-12-06,,,1421.2329166865766,,1439.6700828666108,1376.1809061297445,,,1469.2777092333502,,,1445.7119963657678,,,,,,1488.587341783594,,
2001-12-13,1506.4956754750986,,,,,,1317.536327225844,1750.4613979077476,,,,,1504.8510507582496,,,1387.9448113942885,1483.1936803828382,,,
2001-12-27,,,,,,1360.949315404062,,1756.288847797862,1479.4508837317182,,,,,,,,,,,
2002-01-03,1512.4475622664106,,,,1442.5192924773794,,1306.7453249773848,,,,,,1512.557861289677,,,,1479.5666727691068,,,
2002-01-31,,,,,,1344.6555550848884,,,,,,1439.1010842541525,,,,,,,,
2002-02-14,1516.5505812807594,,,,1451.9944867888505,,1294.8692297357427,,,,,,1503.3033773834482,,,,1472.4983604780384,1512.19677338495,,
2002-02-28,,,1417.6212431394808,,,1327.9245294323766,,1765.9445291625882,1472.454717738185,,,,,,,1419.0438779725669,1451.4108446584146,,,
2002-03-14,1496.7223116011132,,,,1471.7242276383554,,1327.9771977600387,,,,,,,,,,,,,
2002-03-21,,,,,,1340.3560216418664,,1775.5405165711734,1478.9505493109962,,,,1504.722296639065,,,1423.54670779937,1461.4366897346035,,,
2002-04-04,1470.7954045311233,,1405.8276136945015,,1477.8870643930572,,1312.902977379908,,,,,1436.9340201182954,,,,,,1508.5809546384414,,
2002-04-11,,,,,,,,,1497.9161340334256,,,,,,,,,1516.1262686037423,,
2002-04-18,1467.3643254172973,,,,,,,1759.250943516224,1489.5889052251453,,,,1527.5882545704997,,,1423.4086569570609,1438.8331394247452,,,
2002-04-25,,,1383.3605855395667,,,,,1760.1777670445852,,,,,,,,1432.4211103220987,,,,
2002-05-02,,,,,,,,,,,,1444.6291063904107,1533.2656257628998,,,,,1534.1955246674047,,
2002-05-09,,,1397.6837493940989,,1485.5148570145627,1345.7945570037555,,,1471.3563878435596,,,1457.051061045443,,,,1455.1055820071601,,1542.6728081253493,,
2002-05-16,1436.6073207523636,,,,,,1285.6709772689164,1742.0755734662469,,,,,1543.3343775114301,,,1460.4966652754983,1399.0118454287835,,,
2002-09-05,,,1392.0075514702814,,,1329.3346366213555,1307.5985657688725,,1442.6383077440069,,,1467.3369186540076,,,,,,,,
2002-09-12,,,,,1513.5179207032352,,1320.8187549617226,1721.4374455283526,,,,,1549.5803590047776,,,,1425.593059055729,1548.4135588991526,,
2002-09-19,1443.6769696582055,,1376.7634095290575,,,1311.3205848783125,,,1437.802279772724,,,1446.363720587308,,,,1471.0805483732147,,,,
2002-09-26,,,,,1532.6803957642364,1324.2335217459092,1338.2096434771945,1706.3851431888174,,,,,1565.6125839746387,,,,,1553.6650798984397,,
2002-10-03,1437.7172453625449,,1391.808077807646,,,,,,1412.8847053242002,,,1449.2243420275547,,,,1474.961938390491,1426.2117031109376,,,
2002-10-10,,,,,1538.8695241092835,1332.708594167458,1343.231365205486,1689.6413127696328,,,,,1560.7040523146875,,,1481.5908452435135,,,,
2002-10-31,1415.8119632625815,,,,,,,,1395.1689959093026,,,1446.2301167327093,,,,,1413.4697867357327,1564.6476493266389,,
2002-11-07,,,,,1540.8011465397112,1344.0642338298853,1372.6260694476225,1701.7936654240498,,,,1428.172488949256,,,,1477.4315643277482,,,,
2002-11-14,1415.4516920820574,,1385.7170960778321,,,,,,1401.1788310887807,,,,1550.3118512776362,,,,1409.9547328211358,1551.029601376699,,
2002-11-21,,,1382.230785417231,,,1353.3114452773684,1395.815933564069,1717.6482099608525,,,,1401.3175730520334,,,,1473.2231956276999,,,,
2002-11-28,1414.0020128701854,,,,1553.0089146984135,,,,1423.6056736814678,,,,1539.706759290868,,,,1411.6153617756784,1516.707241635565,,
2002-12-05,,,,,1557.9270087179802,1360.1041823143769,1379.2784178057238,1677.9872180761304,,,,1376.6173221943802,,,,1497.791116619122,,,,
2003-01-02,1414.8387428740127,,1427.7952080965701,,,,,,1425.8924422492307,,,,1543.8539312399319,,,,1408.8232545502976,1542.5615226746354,,
2003-01-09,,,,,1582.0079129183987,1364.1218738991815,1381.4175272959662,1666.912137316297,,,,,1524.037432434528,,,1491.7044511023826,,,,
2003-02-06,1397.3747977483265,,1399.1433191158374,,,,,,1430.7584415792032,,,1372.7127728546725,,,,,1395.8402105498926,1543.208980681787,,
2003-02-13,,,,,1595.9356109870355,1344.4092910554234,1381.6910126287853,1676.808006390707,,,,,1521.0168203990665,,,,,1548.5240365972552,,
2003-03-06,1402.1887521488104,,1403.6576627820639,,,,,,,,,,,,,,,1552.8140080330575,,
2003-03-20,1389.8264724022529,,1393.8930006704948,,,,,,1406.3728355611913,,,1404.0862013918588,,,,1522.6290034440772,1371.7780417717374,,,
2003-04-10,1395.536676418665,,,,,,1384.7876604329224,1663.2387884448556,,,,,,,,,1356.435792872079,1567.324902432575,,
2003-04-17,,,,,1609.1783963017942,,,,,,,,1538.0719242985183,,,,,,,
2003-04-24,,,1378.946606821597,,,1367.6930213736694,,,1394.6643462039135,,,1413.915155692726,,,,1517.0050278232168,,,,
2003-05-01,,,,,1612.8626320978933,,,1647.0943591351065,,,,,1533.02326588979,,,,1365.684663887018,,,
2003-05-08,,,1379.0585212282272,,,1354.2572604870086,1415.2538668901855,1624.7853114364718,,,,1420.939531638935,,,,1494.5952846416926,,,,
2003-05-15,1395.839403412813,,,,1606.338288641828,,,,1424.301549681917,,,,1548.5669297549478,,,,1371.9125747561654,1569.6345983535914,,
2003-05-22,,,,,,,,,,,,,,,,,,1577.474995484763,,
2003-06-05,,,,,1588.939231669208,,,,,,,,,,,,,,,
2003-09-18,,,,,1590.2963547940012,1392.4705058513086,1393.3583920472104,1619.0198975204885,,,,1393.5610547560966,,,,,,,,
2003-09-25,1425.7583742987022,,,,,,,,1435.0878404281793,,,1405.0838047953118,,,1196.1802084001883,,1393.6005969275275,1582.5231648716517,,
2003-10-02,,,,,1579.6714923647442,1412.031389422643,1393.2131684261724,1618.3835389181518,,,,,1538.1156483582174,,,1451.966457365999,,,,
2003-10-09,,,,,,,,1597.5137746509072,1432.9936324863572,,,1416.4865602833816,,,1187.3176787817094,,1399.0153476077498,1552.1063247075876,,
2003-10-16,1466.0524278870696,,,,1574.5211989802633,1411.7462223044172,1394.6580343765804,,,,,,1523.7217719933735,,,1459.055247868809,,,,
2003-10-23,1472.2989032269074,,,,,1400.9543131106427,1409.9272167299318,,,,,,1528.9472882001608,,1177.7954006754605,,,1571.1828989609369,,
2003-10-30,,,,,1589.268397296904,1386.6763909279755,,1554.8120370897775,1449.7959564322632,,,1413.1956144559833,,,,,1373.8930294271113,,,
2003-11-06,1473.1331423291315,,,,,,1388.8673269034498,,,,,,1556.7187291255566,,1165.7816414715282,1463.0234918788494,,1585.2171443026818,,
2003-11-13,,,,,1559.8073686290104,1417.6405124496341,,1553.0040943819895,,,,1411.9147317615673,,,,1469.3192680393195,1369.8240791410954,,,
2003-11-27,1498.938354751497,,,,,,,,1462.307386934846,,,,1547.1125397364701,,1158.70372799117,1474.9531184341574,,1583.3152000066295,,
2003-12-04,,,,,1560.1500111455814,1393.8423367588055,,1538.9971005137838,1471.2278561691571,,,1419.3328633955514,,,,,1367.6021414688398,,,
2003-12-25,1522.8784367055716,,,,,,1410.106271308955,,,,,,1547.2709014738584,,1149.310042306191,1459.8818783895929,,1597.5246130063206,,
2004-01-01,,,,,1550.4417184027634,,,1535.6086350374899,1464.9008361325284,,,1426.8271091134438,,,,1461.8682289747414,1358.7064132969529,,,
2004-01-08,,,,,,,,1519.6014767323404,1450.7625648293852,,,1409.351396255827,,,1142.992916972574,,,1614.3430015125964,,
2004-02-12,1524.2672098494302,,,,1570.7674212049149,1419.9144131922233,1380.1410685085925,,,,,,1549.431715209417,,,1455.4749973489115,,,,
2004-02-19,,,,,1576.0143347180124,,,,,,,1387.7552722071011,,,1139.1652388486216,,1347.0719580658506,,,
2004-02-26,1529.2436600988199,,,,,,,,1450.7660978377435,,,,1564.5848350842155,,1135.776370016286,,1356.9382455402535,1634.1900418123585,,
2004-03-25,,,,,,,,1541.230876971395,1436.9569162138712,,,,,,,,,,,
2004-04-01,1548.522596758793,,,,,1399.4783175953437,1387.985799756147,,,,,,1567.9602778611966,,,1458.031895935088,,1634.901051124707,,
2004-04-08,1554.3858779587106,,,,,,,,1426.4926587159132,,,1384.3377547561704,,,1127.2822452900684,,1344.4859312315396,1641.3944793310995,,
2004-04-22,,,,,1579.768760440158,1406.8401527836982,1387.7589533698556,1554.5979532724548,,,,,1569.7468943734134,,,,,,,
2004-04-29,,,,,,,,,,,,,,,,1458.6374442067633,,,,
2004-05-06,,,,,1590.645859937195,1420.2117640548581,1377.639611243596,1555.6396664502993,,,,1362.8540094590714,,,,,1353.6863752364045,,,
2004-05-13,1543.1985901121107,,,,,,1363.4732480242185,,1418.0657035064926,,,,1584.1324488219275,,1115.6536044623488,,,1619.589330978345,,
2004-05-20,,,,,,,,,,,,,,,,,,1626.990995381328,,
2004-06-03,1529.5788165051606,,,,,,,,,,,,,,,,,,,
2004-09-09,,,,,,,1354.5314308136767,,1426.504641602195,,,,1583.7865601553806,,,1472.6895001512669,1390.309673048649,,,1285.9279879761098
2004-09-16,1502.2623114465966,,,,1593.3294870526154,1397.1887555363392,,1565.4772563929598,,,,,,,,,1395.8217111326971,1602.3983762242497,,
2004-09-23,,,,,,,1343.3197398689024,,1410.8100599883574,,,1413.6501980564472,1577.5867004170916,,,1498.9147596253122,,,,1271.6432881350509
2004-09-30,,,,,1613.4197524770786,1376.6999535780649,,1585.4930356186958,,,,,,,,1501.9737488797186,1372.200805275658,1613.7493779831354,,
2004-10-07,1534.8870296226346,,,,,,1349.6778005600395,,1414.7065804195959,,,1399.7296221634515,1554.0636961941034,,,,,,,1280.8366470588107
2004-10-14,,,,,1604.7190368250547,,1356.1187828215172,1590.0015141169238,,,,,,,,1494.2003374301876,1379.920523711875,1631.7771468010046,,
2004-10-21,1527.3662914854708,,,,,1352.9841005436485,,,1415.2501412480967,,,1392.1714069101074,1521.0579671713692,,,,,,,1268.7825932553885
2004-11-11,,,,,,,1388.542093842882,1607.4503094882919,1419.7916891699135,,,,,,,1517.211516983998,1372.9489337649513,1647.3265047796892,,
2004-11-18,1546.6862495891253,,,,1586.4861416520746,1360.03193248152,,,,,,1395.58976173673,1488.3778697591547,,,,,,,1258.9442450406939
2004-11-25,,,,,,,1369.3324507096245,,1446.024321435202,,,,1466.403601126849,,,1488.8692755941186,1379.9697563385787,1656.7673389940505,,
2004-12-02,1562.682244361341,,,,1576.3309034291424,1388.7005365243442,,1621.1532918376936,,,,1399.5933562568998,,,,,,,,1301.3637137758674
2004-12-30,,,,,,,1345.9720178773446,1623.0447574778266,1424.6652799416354,,,,,,,1494.0087944282682,1373.4637614267033,1643.0097037933729,,
2005-01-06,1530.3461292342895,,,,1554.9500839720774,1384.4618817671915,,,,,,1426.021794223329,1476.259604762128,,,,,,,1312.338866755608
2005-02-03,,,,,1557.7798020693594,,1351.8790553757594,1640.4172907749364,,,,,,,,1491.0896704687411,1404.109025446072,1630.984976309689,,
2005-02-10,1549.331839436236,,,,,1396.4548808804486,,,1387.4886127902487,,,1432.456156879885,1449.5412989512702,,,,,,,1319.4334813085304
2005-02-24,,,,,1551.8170500719666,1377.6732855416449,,1644.6634598953212,,,,,,,,1508.6880854658305,1404.943932773141,1619.148762809163,,
2005-03-03,1519.8218426938458,,,,,,1323.5375933961416,,1396.045384832365,,,1429.3784878385407,1460.8658144328992,,,,,,,1352.6940903204836
2005-03-17,1523.937992625754,,,,1532.3980410474692,1408.0059188174093,,1632.1590230149357,,,,,,,,,1430.222203386366,1630.2275410807645,,
2005-03-31,,,,,,,1340.3671301001516,,1381.4496320437834,,,1406.9539955310806,1486.3616423472033,,,1471.7910474270395,,,,1334.8815447765107
2005-04-14,1543.7898090162807,,,,1522.4674673635086,1384.5187777427539,,1617.928835252831,,,,1388.3064389631313,,,,,,1645.1232423851422,,
2005-04-21,,,,,,,,,,,,,1485.2498203813532,,,1477.5159114216171,1455.0983847147568,1647.3187505035446,,
2005-04-28,,,,,,,1371.1757599411947,,1387.1664589507325,,,,,,,,,,,
2005-05-05,1533.9981579999426,,,,1493.8659535168576,1362.3085378156889,,1613.1867406468045,,,,1391.118818394333,,,,,,,,1364.5134875369733
2005-05-12,,,,,,,,,,,,,,,,,,1641.8673464383344,,
2005-05-19,,,,,,,,1597.6435101239306,,,,,,,,,,,,
2005-09-08,,,1385.9205460038345,,,,1375.4481973865613,1602.649278577865,,,,,,,,1491.6934095869901,,1661.2019839609811,,1365.0295654813474
2005-09-15,1501.701881878629,,,,1501.8037417341075,,,,1377.9954248229606,,,1368.8919131864152,,,,,1475.3054839645704,1655.430191623849,,
2005-09-22,,,1389.3347671871106,,,,1362.8695464364675,1613.8755106846993,,,,,1465.3936769203979,,,1488.7302796842926,,,,1394.1791433942292
2005-09-29,,,,,1521.8526945111207,,1355.0272376679109,,1381.5638282033456,,,1375.9015364044606,,,,,1447.9388816279734,1664.7203655370415,,
2005-10-20,1517.9412254470394,,1366.0830116176246,,,,,1612.0015684064974,,,,,1464.6285454232975,,,1518.515016663922,,,,1399.0620730907904
2005-11-10,,,,,1517.8917795705265,,1337.1542352281112,,1388.8315128875965,,,,,,,,1470.719654535213,1652.8772806515935,,1414.9952699856296
2005-11-17,1499.4038400578759,,1371.473018905306,,,,,1602.2557623842533,,,,1364.4253862023374,1446.4314372885626,,,1534.299838844904,,,,
2005-11-24,,,,,,,1342.0557365068685,,1417.257511402506,,,,,,,1545.1175606538309,1481.1079524069332,1666.6830791864459,,1417.0364165139088
2005-12-01,1474.6072965941266,,1378.9998011099408,,1507.428245115311,,,1595.4164867839895,,,,1377.8806741651001,1416.833858394558,,,,,,,
2005-12-29,,,1395.048341910419,,,,1346.6612767492325,,,,,,,,,1535.5637564905985,1454.8745656698393,1652.5574907804212,,1418.9254680620304
2006-01-05,1474.789180268175,,,,1507.0958947334666,,,1584.3986549699982,1422.7876211431253,,,1403.2090578988254,1419.5253333748153,,,,,,,
2006-01-12,,,,,,,1355.4499861667825,,1411.9545990046865,,,,,,,1554.7097642285705,1435.2851303333487,1663.9718542220069,,1393.4223520809005
2006-02-02,1477.238033992867,,1366.7274557069102,,1502.036241652525,,,1589.9823357563625,,,,1410.257120730493,1441.82636141732,,,,,,,
2006-02-16,,,,,1513.5648616193334,,1358.396265100292,,1414.405689078101,,,,,,,,1410.86863565663,1639.288699596443,,1398.339907529649
2006-02-23,1473.1967474928213,,1363.2233523381478,,,,,1582.319229179223,,,,1413.888485796303,1458.196993730735,,,1574.4801653395568,,,,
