Date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
1998-09-10,1480.2333048669,,,,1272.9054238041626,,,1745.875869590734,,1249.5300745212376,,,,,,,1521.3587812584672,,,
1998-09-17,1477.5619590716485,,,,1283.4032457001294,,,1749.331568506107,,1247.0255219715816,,1455.366354961864,1595.542390467563,1313.190545202133,,1291.3862474745185,1522.8675265804927,,1041.1058895137398,
1998-09-24,1474.890613276397,1160.9801530288944,,,1293.9010675960965,,,1752.78726742148,1452.6201327868494,1237.727889328311,,1447.0757563112363,1594.8271103547559,1317.8350772932315,,1298.2669452237874,1524.376271902518,,1038.555501393694,
1998-10-01,1478.739681734676,1159.4705179540852,,,1287.3390887935711,,,1749.3493683312363,1450.537034377483,1228.4302566850404,,1438.7851576606085,1594.1118302419488,1322.4796093843297,,1305.1476429730565,1532.0365694834059,1496.7659943454528,1036.0051132736482,
1998-10-08,1480.6363916788473,1168.515624098713,,,1280.777109991046,1512.8304003787896,,1745.9114692409926,1448.4539359681164,1224.9057039692877,,1446.127704031324,1593.3965501291416,1327.1241414754281,,1299.728527065713,1539.6968670642934,1489.7229585586929,1033.4547251536023,
1998-10-15,1488.136641262087,1177.5607302433411,,,1288.055513710056,1508.8527002573464,,1742.473570150749,1453.9728610332447,1221.381151253535,,1453.4702504020395,1596.314988963055,1331.7686735665266,,1294.3094111583696,1547.3571646451812,1482.6799227719328,1030.2631283398018,
1998-10-22,1491.517269851545,1172.2381521597608,,,1295.333917429066,1504.8750001359035,,1739.0356710605054,1459.491786098373,1225.2581962887116,,1454.7787784905358,1599.2334277969683,1344.2978821116787,,1288.8902952510264,1534.1646341961118,1475.6368869851729,1027.0715315260013,
1998-10-29,1494.897898441003,1166.9155740761805,,,1298.3551923948264,1507.3460684602258,,1721.958097858581,1447.8804365540989,1229.135241323888,,1456.087306579032,1606.0222316379832,1356.827090656831,,1283.471179343683,1520.9721037470426,1477.3148906360059,1025.6680442174948,
1998-11-05,1487.0472772702508,1162.4632668379822,,,1299.790488918674,1518.6513439722971,,1723.7730918489992,1437.4655568477176,1233.0122863590645,,1457.3958346675283,1612.8110354789978,1369.3562992019831,,1291.1919179005222,1517.7796941604247,1478.992894286839,1024.264556908988,
1998-11-12,1479.1966560994986,1158.0109595997842,,,1301.2257854425218,1529.9566194843685,,1725.5880858394178,1427.0506771413363,1228.1600737021627,,1461.3108158876548,1617.6295016766298,1367.7057761962558,,1298.9126564573612,1514.5872845738065,1485.1688197518483,1020.3354508844593,
