date,Bath Rugby,Bedford Blues,Bristol Rugby,Exeter Chiefs,Gloucester,Harlequins,Leeds Carnegie,Leicester Tigers,London Irish,London Scottish,London Welsh,Newcastle Falcons,Northampton Saints,Richmond,Rotherham Titans,Sale Sharks,Saracens,Wasps,West Hartlepool,Worcester Warriors
1998-09-10,1479.992480944305,,,,1273.1940885198806,,,1745.565175798075,,1249.7108167546835,,,,1354.238746139821,,,1521.1761935156414,,,
1998-09-17,1477.1867821759197,,,,1283.997122849662,,,1749.0237179061912,,1247.1998815898019,,1433.7456234911178,1595.2047586632593,1335.3495870807233,,1291.5084032627813,1522.6872676384876,,1041.5231540802374,
1998-09-24,1474.3810834075346,1161.2152843609106,,,1294.8001571794434,,,1752.4822600143075,1452.4134764427108,1237.8983687088191,,1425.8057921775085,1594.491476282442,1339.6934854521921,,1298.3830417226065,1524.1983417613337,,1038.8295779920697,
1998-10-01,1478.2566315266833,1159.7012328043095,,,1288.2062882308096,,,1749.0471102361362,1450.218794173136,1228.5968558278364,,1417.8659608638989,1593.7781939016247,1344.037383823661,,1305.2576801824318,1531.860533790102,1496.5288125964669,1036.1360019039023,
1998-10-08,1480.1605559103916,1168.7389222414554,,,1281.612419282176,1512.723847950972,,1745.6119604579646,1448.0241119035613,1225.065157271191,,1425.7846878212076,1593.0649115208073,1348.3812821951296,,1300.0120434528803,1539.5227258188704,1489.4121821017204,1033.4424258157346,
1998-10-15,1487.6621961331864,1177.7766116786015,,,1288.5271239149422,1508.7495571974146,,1742.176810679793,1453.5442335429025,1221.5334587145458,,1433.7034147785166,1595.9904480064092,1352.7251805665985,,1294.7664067233286,1547.1849178476386,1482.2955516069742,1030.3579986244745,
1998-10-22,1491.0533090793085,1172.1531008607471,,,1295.4418285477084,1504.7752664438572,,1738.7416609016218,1459.0643551822434,1225.4042284634133,,1435.668791424134,1598.9159844920114,1364.6953359241388,,1289.5207699937769,1533.991914083601,1475.1789211122277,1027.2735714332143,
1998-10-29,1494.4444220254306,1166.5295900428926,,,1298.4608980750547,1507.2493980554339,,1721.833908305892,1447.4569426720327,1229.274998212281,,1437.6341680697512,1605.7050490516049,1376.6654912816791,,1284.2751332642254,1520.798910319563,1476.8686256319872,1025.867524531101,
1998-11-05,1486.5960638036029,1162.187426151646,,,1299.892249867677,1518.3096156197519,,1723.6474356341855,1437.0543672375393,1233.1457679611485,,1439.5995447153687,1612.4941136111984,1388.6356466392194,,1291.9853087124618,1517.5081933935453,1478.5583301517468,1024.4614776289875,
1998-11-12,1478.747705581775,1157.8452622603993,,,1301.3236016602991,1529.3698331840699,,1725.460962962479,1426.6517918030459,1228.284454476281,,1444.0505259093156,1617.3099461974728,1386.6422538631218,,1299.6954841606982,1514.2174764675274,1484.7402886157327,1020.5337309428381,
